name,brand,category_id,cpu,gpu,ram,storage,camera,battery,screen,release_year,price,image_url,source_data
Xiaomi Poco F8 Ultra,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~91.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_poco_f8_ultra_5g-14301.php
Xiaomi Poco F8 Pro,Xiaomi,1,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Adreno 830,12GB,256GB,N/A,N/A,"6.59 inches, 106.5 cm2 (~89.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_poco_f8_pro_5g-14303.php
Xiaomi Poco Pad X1,Xiaomi,1,Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm),Adreno 732,8GB,256GB,N/A,N/A,"11.2 inches, 373.7 cm2 (~85.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-pad-x1.jpg,https://www.gsmarena.com/xiaomi_poco_pad_x1-14306.php
Xiaomi Poco Pad M1,Xiaomi,1,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Adreno 810,8GB,256GB,N/A,N/A,"12.1 inches, 424.5 cm2 (~83.5% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-pad-m1-n.jpg,https://www.gsmarena.com/xiaomi_poco_pad_m1-14285.php
Xiaomi Black Shark GS3 Ultra,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,1.43 inches,2025,0,,https://www.gsmarena.com/xiaomi_black_shark_gs3_ultra-14309.php
Xiaomi Redmi K90,Xiaomi,1,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Adreno 830,12GB,256GB,N/A,N/A,"6.59 inches, 106.5 cm2 (~89.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-90.jpg,https://www.gsmarena.com/xiaomi_redmi_k90_5g-14280.php
Xiaomi Redmi K90 Pro Max,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~91.8% screen-to-body ratio)",2025,0,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k90-pro-max.jpg,https://www.gsmarena.com/xiaomi_redmi_k90_pro_max_5g-14252.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_redmi_watch_6-14281.php
Xiaomi 17 Pro Max,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,512GB,N/A,N/A,"6.9 inches, 116.6 cm2 (~92.3% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_17_pro_max_5g-14181.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_17_pro_5g-14182.php
Xiaomi 17,Xiaomi,1,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Adreno 840,12GB,256GB,N/A,N/A,"6.3 inches, 97.1 cm2 (~89.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_17_5g-14134.php
Xiaomi Black Shark Pad 7 Pro,Xiaomi,1,Mediatek Helio G100 (6 nm),Mali-G57 MC2,8GB,256GB,N/A,N/A,"11.0 inches, 352.4 cm2",2025,0,,https://www.gsmarena.com/xiaomi_black_shark_pad_7_pro-14308.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_black_shark_pad_7-14307.php
Unknown,Xiaomi,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024,0,,https://www.gsmarena.com/xiaomi_pad_8_pro-14183.php
Xiaomi Pad 8,Xiaomi,1,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Adreno 825,8GB,128GB,N/A,N/A,"11.2 inches, 373.7 cm2 (~85.8% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_pad_8-14184.php
Xiaomi 15T Pro,Xiaomi,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,12GB,256GB,N/A,N/A,"6.83 inches, 114.5 cm2 (~90.4% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_15t_pro_5g-14178.php
Xiaomi 15T,Xiaomi,1,Mediatek Dimensity 8400 Ultra (4 nm),Mali-G720 MC7,12GB,256GB,N/A,N/A,"6.83 inches, 114.5 cm2 (~90.0% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_15t_5g-14177.php
Xiaomi Redmi Pad 2 Pro,Xiaomi,1,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Adreno 810,6GB,128GB,N/A,N/A,"12.1 inches, 424.5 cm2 (~83.5% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_redmi_pad_2_pro-14174.php
Xiaomi Pad Mini,Xiaomi,1,Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,8GB,256GB,N/A,N/A,"8.8 inches, 224.5 cm2 (~82.9% screen-to-body ratio)",2025,0,,https://www.gsmarena.com/xiaomi_pad_mini-14179.php
